Article_ID,Subject,Predicate,Object
22,CRPD_Article 22,Has CRPD Text," 1. No person with disabilities, regardless of place of residence or living arrangements, shall be subjected to arbitrary or unlawful interference with his or her privacy, family, home or correspondence or other types of communication or to unlawful attacks on his or her honour and reputation. Persons with disabilities have the right to the protection of the law against such interference or attacks; 2. States Parties shall protect the privacy of personal, health and rehabilitation information of persons with disabilities on an equal basis with others."
22,CRPD_Article 22,Has Subtopic,right to privacy 
22,right to privacy ,Has Wikidata Definition,legal tradition restraining actions threatening individual privacy
22,right to privacy ,Has Wikidata Code,Q8354932
,right to privacy ,Mentioned In CRPD Article,22
23,CRPD_Article 23,Has CRPD Text,"  1. States Parties shall take effective and appropriate measures to eliminate discrimination against persons with disabilities in all matters relating to marriage, family, parenthood and relationships, on an equal basis with others, so as to ensure that:
a) The right of all persons with disabilities who are of marriageable age to marry and to found a family on the basis of free and full consent of the intending spouses is recognized;
b) The rights of persons with disabilities to decide freely and responsibly on the number and spacing of their children and to have access to age-appropriate information, reproductive and family planning education are recognized, and the means necessary to enable them to exercise these rights are provided;
c) Persons with disabilities, including children, retain their fertility on an equal basis with others.
2. States Parties shall ensure the rights and responsibilities of persons with disabilities, with regard to guardianship, wardship, trusteeship, adoption of children or similar institutions, where these concepts exist in national legislation; in all cases the best interests of the child shall be paramount. States Parties shall render appropriate assistance to persons with disabilities in the performance of their child-rearing responsibilities.
3. States Parties shall ensure that children with disabilities have equal rights with respect to family life. With a view to realizing these rights, and to prevent concealment, abandonment, neglect and segregation of children with disabilities, States Parties shall undertake to provide early and comprehensive information, services and support to children with disabilities and their families.
4. States Parties shall ensure that a child shall not be separated from his or her parents against their will, except when competent authorities subject to judicial review determine, in accordance with applicable law and procedures, that such separation is necessary for the best interests of the child. In no case shall a child be separated from parents on the basis of a disability of either the child or one or both of the parents.
5. States Parties shall, where the immediate family is unable to care for a child with disabilities, undertake every effort to provide alternative care within the wider family, and failing that, within the community in a family setting.
"
23,CRPD_Article 23 ,Has Subtopic,respect for home and family 
,respect for home and family ,Mentioned In CRPD Article,23
23,respect for home and family ,Has Wikidata Code,missing 
23,respect for home and family ,Requires   Wiki Data   Definition ,"Discuss with Racheal: Discrimination must be eliminated in all areas related to   marriage, family, parenthood and relationships, on an equal basis with others, access to age approperate family planning information, retain fertility, retain gaurdianship, prevent abandoment and neglect, seperation is subject to judicual review; where the immediate family is unable to care for a child with disabilities, undertake every effort to provide alternative care within the wider family, and failing that, within the community in a family setting."
24,CRPD_Article 24 ,Has CRPD Definition,"  1. States Parties recognize the right of persons with disabilities to education. With a view to realizing this right without discrimination and on the basis of equal opportunity, States Parties shall ensure an inclusive education system at all levels and lifelong learning directed to:  
a. The full development of human potential and sense of dignity and self-worth, and the strengthening of respect for human rights, fundamental freedoms and human diversity;
b. The development by persons with disabilities of their personality, talents and creativity, as well as their mental and physical abilities, to their fullest potential;
c. Enabling persons with disabilities to participate effectively in a free society.
2. In realizing this right, States Parties shall ensure that:
a) Persons with disabilities are not excluded from the general education system on the basis of disability, and that children with disabilities are not excluded from free and compulsory primary education, or from secondary education, on the basis of disability;
b) Persons with disabilities can access an inclusive, quality and free primary education and secondary education on an equal basis with others in the communities in which they live;
c) Reasonable accommodation of the individual?s requirements is provided;
d) Persons with disabilities receive the support required, within the general education system, to facilitate their effective education;
e) Effective individualized support measures are provided in environments that maximize academic and social development, consistent with the goal of full inclusion.
3. States Parties shall enable persons with disabilities to learn life and social development skills to facilitate their full and equal participation in education and as members of the community. To this end, States Parties shall take appropriate measures, including:
a) Facilitating the learning of Braille, alternative script, augmentative and alternative modes, means and formats of communication and orientation and mobility skills, and facilitating peer support and mentoring;
b) Facilitating the learning of sign language and the promotion of the linguistic identity of the deaf community;
c) Ensuring that the education of persons, and in particular children, who are blind, deaf or deafblind, is delivered in the most appropriate languages and modes and means of communication for the individual, and in environments which maximize academic and social development.
4. In order to help ensure the realization of this right, States Parties shall take appropriate measures to employ teachers, including teachers with disabilities, who are qualified in sign language and/or Braille, and to train professionals and staff who work at all levels of education. Such training shall incorporate disability awareness and the use of appropriate augmentative and alternative modes, means and formats of communication, educational techniques and materials to support persons with disabilities.
5. States Parties shall ensure that persons with disabilities are able to access general tertiary education, vocational training, adult education and lifelong learning without discrimination and on an equal basis with others. To this end, States Parties shall ensure that reasonable accommodation is provided to persons with disabilities.
"
24,CRPD_Article 24 ,Has Subtopic,education 
,education ,Mentioned In CRPD Article,24
24,education ,Has Wikidata Code,Q8434
24,education ,Has Wikidata Definition Extension,extremely lacking - ask Rachel for advice 
24,education ,Has Wikidata Definition,learning in which knowledge and skills are transferred through teaching
25,CRPD_Article 25,Has topic ,Health
25,Health,has wikidata code,Q12147
25,Health,has CRPD text,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Health,has Wikidata definition,"state of physical, mental and social well-being in the absence of disease and infirmity"
25,Health,has wikidata definition extension,Equal Standard of Care regardless of disability
25,CRPD_Article 25,Has Subtopic,Rural Areas
,Rural Areas,Mentioned In CRPD Article,25
25,Rural Area,has Wikidata definition,geographic area that is located outside towns and cities
25,Rural Area,has wikidata code,Q175185
25,CRPD_Article 25,Has SubTopic,Preventative Measures
,Preventative Measures,Mentioned In CRPD Article,25
25,Preventative Measures,has CRPD text,"Provide those health services needed by persons with disabilities specifically because of their disabilities, including early identification and intervention as appropriate, and services designed to minimize and prevent further disabilities, including among children and older persons;"
25,Preventative Measures,has wikidata definition extension,Provide early identification and intervention 
25,CRPD_Article 25,Has SubTopic,Quality of Care
,Quality of Care,Mentioned In CRPD Article,25
25,Quality of Care,has wikidata code,Q60649344
25,Quality of Care,requires   wikidata  definition extension ,"Provide persons with disabilities with the same range, quality and standard of health care on the basis of free and informed consent by raising awareness of the human rights, dignity, autonomy and needs of persons with disabilities through training and the promulgation of ethical standards for public and private health care"
25,CRPD_Article 25,Has Subtopic,Human Rights 
,Human Rights ,Mentioned In CRPD Article,25
25,Human Rights,has wikidata code,Q8458
25,CRPD_Article 25,Has SubTopic,Services
,Services ,Mentioned In CRPD Article,25
25,CRPD_Article 25,has topic ,Discrimination
25,Discrimination,has wikidata code,Q169207
25,Quality of Care,requires   wikidata  definition extension ,Prevent discriminatory denial of health care or health services or food and fluids on the basis of disability or capacity. 
25,CRPD_Article 25,Has Subtopic,Equality
,equality ,Mentioned In CRPD Article,25
1,CRPD_Article 1,has CRPD text,"The purpose of the present Convention is to promote, protect and ensure the full and equal enjoyment of all human rights and fundamental freedoms by all persons with disabilities, and to promote respect for their inherent dignity. Persons with disabilities include those who have long-term physical, mental, intellectual or sensory impairments which in interaction with various barriers may hinder their full and effective participation in society on an equal basis with others."
1,human rights ,Has SubTopic,human rights 
,Human Rights,Mentioned In CRPD Article,1
1,human rights,has wikidata code,Q8458
1,dignity ,Has Subtopic,dignity 
,dignity ,Mentioned In CRPD Article,1
1,dignity ,has Wikidata definition,Quality of being deserving of respect
1,dignity ,has wikidata code,Q274782
1,impairment ,Has SubTopic,impairment 
,impairment ,Mentioned In CRPD Article,1
1,impairment ,has wikidata code,Missing 
1,Barrier ,Has SubTopic,Barrier
,Barrier ,Mentioned In CRPD Article,1
1,Barrier ,has wikidata code,missing 
1,Participation ,Has SubTopic,participation 
,participation ,Mentioned In CRPD Article,1
1,Participation ,has wikidata code,Q1773152
1,Disability ,Has SubTopic,Disability
,disability ,Mentioned In CRPD Article,1
1,Disability ,has Wikidata definition,"impairments, activity limitations, and participation restrictions"
2,CRPD_Article 2,has CRPD text,"Communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology; ?Language? includes spoken and signed languages and other forms of non spoken languages; ?Discrimination on the basis of disability? means any distinction, exclusion or restriction on the basis of disability which has the purpose or effect of impairing or nullifying the recognition, enjoyment or exercise, on an equal basis with others, of all human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field. It includes all forms of discrimination, including denial of reasonable accommodation; ?Reasonable accommodation? means necessary and appropriate modification and adjustments not imposing a disproportionate or undue burden, where needed in a particular case, to ensure to persons with disabilities the enjoyment or exercise on an equal basis with others of all human rights and fundamental freedoms; ?Universal design? means the design of products, environments, programmes and services to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design. ?Universal design? shall not exclude assistive devices for particular groups of persons with disabilities where this is needed."
2,Communication,Has SubTopic,Communication
,communication ,Mentioned In CRPD Article,2
2,communication,has wikidata code,Q11024
2,communication,has wikidata definition ,act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules
2,communication,requires wikidata definition extension,"communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology"
2,impairment ,has Wikidata definition,"impairments, activity limitations, and participation restrictions"
2,Braille ,Has SubTopic,Braille
,braille ,Mentioned In CRPD Article,2
2,braille,has wikidata code,Q79894
2,Braille ,has Wikidata definition,writing system for blind and visually impaired people
2,Plain Language ,Has SubTopic,plain language 
,plain Language ,Mentioned In CRPD Article,2
2,Plain Language ,has wikidata code,Q1814648
2,Plain Language ,has Wikidata definition,"writing designed to ensure the reader understands as quickly, easily, and completely as possible"
2,communication ,Has SubTopic,language
2,Language ,has wikidata code,Q315
2,Language,has Wikidata definition,"particular system of communication, usually named for the region or peoples that use it"
2,CRPD_Article 2,has wikidata definition extension,includes spoken and signed languages and other forms of non spoken languages
2,CRPD_Article 2,Has SubTopic,Discrimination
,Discrimination,Mentioned In CRPD Article,2
2,Discrimination ,has wikidata code,Q169207
2,Discrimination ,has Wikidata definition,prejudicial treatment based on membership in a certain group
2,Discrimination ,has   wiki data definition extension ,"?Discrimination on the basis of disability? means any distinction, exclusion or restriction on the basis of disability which has the purpose or effect of impairing or nullifying the recognition, enjoyment or exercise, on an equal basis with others, of all human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field. It includes all forms of discrimination, including denial of reasonable accommodation;"
2,reasonable accommodation ,Has SubTopic,reasonable accommodation 
2,reasonable accommodation ,has wikidata code,missing 
2,reasonable accommodation ,has wikidata definition extension,"?Reasonable accommodation? means necessary and appropriate modification and adjustments not imposing a disproportionate or undue burden, where needed in a particular case, to ensure to persons with disabilities the enjoyment or exercise on an equal basis with others of all human rights and fundamental freedoms;"
2,universal design ,Has SubTopic,universal design 
,universal design ,Mentioned In CRPD Article,2
2,universal design ,has wikidata code,Q781118
2,universal design ,has Wikidata definition,"design of buildings, products or environments to make them accessible to all people"
2,universal design ,has wikidata definition extension,"means the design of products, environments, programmes and services to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design. ?Universal design? shall not exclude assistive devices for particular groups of persons with disabilities where this is needed."
3,CRPD_Article 3 ,has CRPD text,"Respect for inherent dignity, individual autonomy including the freedom to make one?s own choices, and independence of persons; Non-discrimination; Full and effective participation and inclusion in society; Respect for difference and acceptance of persons with disabilities as part of human diversity and humanity; Equality of opportunity; Accessibility; Equality between men and women; Respect for the evolving capacities of children with disabilities and respect for the right of children with disabilities to preserve their identities."
3,CRPD_Article 3 ,Has SubTopic,autonomy 
,Autonomy,Mentioned In CRPD Article,3
3,Autonomy,has wikidata code,missing 
3,Autonomy,has wikidata definition extension,"the freedom to make one?s own choices, and independence of persons"
3,CRPD_Article 3 ,Has SubTopic,(social) inclusion 
,social inclusion ,Mentioned In CRPD Article,3
3,social inclusion ,has wikidata code,Q3149923
3,social inclusion ,has Wikidata definition,affirmative action to change the circumstances and habits that lead to (or have led to) social exclusion
3,CRPD_Article 3 ,Has SubTopic,equal opportunity 
,equal opportunity ,Mentioned In CRPD Article,3
3,equal opportunity ,has wikidata code,Q912512
3,equal opportunity ,has Wikidata definition,Similar treatment of all people
3,equal opportunity ,has wikidata definition extension,should this included a definition extension about equity? 
3,CRPD_Article 3 ,Has SubTopic,accessibility
,accessibility ,Mentioned In CRPD Article,3
3,accessibility ,has wikidata code,Q555097
3,accessibility ,has Wikidata definition,design of products or services for people with temporary or permanent impairments
3,CRPD_Article 3 ,Has SubTopic,gender equality 
,gender equality ,Mentioned In CRPD Article,3
3,gender equality ,has wikidata code,Q113453
3,gender equality ,has Wikidata definition,"state of equal ease of access to resources and opportunities regardless of gender, including economic participation and decision-making"
3,CRPD_Article 3 ,Has SubTopic,Respect
,respect ,Mentioned In CRPD Article,3
3,respect ,has wikidata code,Q28510
3,respect ,has Wikidata definition,feeling of regard for someone or something
3,respect ,has wikidata definition extension,includes: Respect for the evolving capacities of children with disabilities and respect for the right of children with disabilities to preserve their identities.
4,CRPD_Article 4 ,has CRPD text,"States Parties undertake to ensure and promote the full realization of all human rights and fundamental freedoms for all persons with disabilities without discrimination of any kind on the basis of disability. To this end, States Parties undertake:
a) To adopt all appropriate legislative, administrative and other measures for the implementation of the rights recognized in the present Convention;
b) To take all appropriate measures, including legislation, to modify or abolish existing laws, regulations, customs and practices that constitute discrimination against persons with disabilities;
c) To take into account the protection and promotion of the human rights of persons with disabilities in all policies and programmes;
d) To refrain from engaging in any act or practice that is inconsistent with the present Convention and to ensure that public authorities and institutions act in conformity with the present Convention;
e) To take all appropriate measures to eliminate discrimination on the basis of disability by any person, organization or private enterprise;
f) To undertake or promote research and development of universally designed goods, services, equipment and facilities, as defined in article 2 of the present Convention, which should require the minimum possible adaptation and the least cost to meet the specific needs of a person with disabilities, to promote their availability and use, and to promote universal design in the development of standards and guidelines;
g) To undertake or promote research and development of, and to promote the availability and use of new technologies, including information and communications technologies, mobility aids, devices and assistive technologies, suitable for persons with disabilities, giving priority to technologies at an affordable cost;
h) To provide accessible information to persons with disabilities about mobility aids, devices and assistive technologies, including new technologies, as well as other forms of assistance, support services and facilities;
i) To promote the training of professionals and staff working with persons with disabilities in the rights recognized in the present Convention so as to better provide the assistance and services guaranteed by those rights.
2. With regard to economic, social and cultural rights, each State Party undertakes to take measures to the maximum of its available resources and, where needed, within the framework of international cooperation, with a view to achieving progressively the full realization of these rights, without prejudice to those obligations contained in the present Convention that are immediately applicable according to international law.
3. In the development and implementation of legislation and policies to implement the present Convention, and in other decision-making processes concerning issues relating to persons with disabilities, States Parties shall closely consult with and actively involve persons with disabilities, including children with disabilities, through their representative organizations.
4. Nothing in the present Convention shall affect any provisions which are more conducive to the realization of the rights of persons with disabilities and which may be contained in the law of a State Party or international law in force for that State. There shall be no restriction upon or derogation from any of the human rights and fundamental freedoms recognized or existing in any State Party to the present Convention pursuant to law, conventions, regulation or custom on the pretext that the present Convention does not recognize such rights or freedoms or that it recognizes them to a lesser extent.
"
4,CRPD_Article 4 ,Has SubTopic,
4,CRPD_Article 4 ,has wikidata code,Missing 
5,CRPD_Article 5 ,has CRPD text,"States Parties recognize that all persons are equal before and under the law and are entitled without any discrimination to the equal protection and equal benefit of the law.; States Parties shall prohibit all discrimination on the basis of disability and guarantee to persons with disabilities equal and effective legal protection against discrimination on all grounds.; In order to promote equality and eliminate discrimination, States Parties shall take all appropriate steps to ensure that reasonable accommodation is provided.; Specific measures which are necessary to accelerate or achieve de facto equality of persons with disabilities shall not be considered discrimination under the terms of the present Convention."
5,CRPD_Article 5 ,Has SubTopic,discrimination 
,Discrimination,Mentioned In CRPD Article,5
5,discrimination ,has wikidata code,Q169207
5,discrimination ,has Wikidata definition,prejudicial treatment based on membership in a certain group
5,discrimination ,has wikidata definition extension,States Parties shall prohibit all discrimination on the basis of disability and guarantee to persons with disabilities equal and effective legal protection against discrimination on all grounds
5,CRPD_Article 5 ,Has SubTopic,equality 
,equality ,Mentioned In CRPD Article,5
5,equality ,has wikidata code,Q773009
5,,has Wikidata definition,equal treatment of people
5,CRPD_Article 5 ,requires wikidata definition extension,"in order to promote equality and eliminate discrimination, States Parties shall take all appropriate steps to ensure that reasonable accommodation is provided.; specific measures which are necessary to accelerate or achieve de facto equality of persons with disabilities shall not be considered discrimination under the terms of the present Convention."
6,CRPD_Article 6 ,has CRPD text,"1. States Parties recognize that women and girls with disabilities are subject to multiple discrimination, and in this regard shall take measures to ensure the full and equal enjoyment by them of all human rights and fundamental freedoms; 2. States Parties shall take all appropriate measures to ensure the full development, advancement and empowerment of women, for the purpose of guaranteeing them the exercise and enjoyment of the human rights and fundamental freedoms set out in the present Convention."
6,CRPD_Article 6 ,Has SubTopic,women 
,women ,Mentioned In CRPD Article,6
6,women ,has wikidata code,Q467
6,women ,has Wikidata definition,Female adult human
6,CRPD_Article 6 ,Has SubTopic,discrimination 
6,discrimination ,has wikidata code,Q169207
6,CRPD_Article 6 ,has wikidata definition extension,women and girls with disabilities are subject to multiple discrimination
6,CRPD_Article 6 ,Has SubTopic,human rights 
,human rights ,Mentioned In CRPD Article,6
6,human rights ,has wikidata code,Q8458
6,human rights ,has Wikidata definition,inalienable fundamental rights to which a person is inherently entitled
6,CRPD_Article 6 ,has wikidata definition extension,"States Parties shall take all appropriate measures to ensure the full development, advancement and empowerment of women, for the purpose of guaranteeing them the exercise and enjoyment of the human rights and fundamental freedoms set out in the present Convention."
7,CRPD_Article 7 ,has CRPD text,"1. States Parties shall take all necessary measures to ensure the full enjoyment by children with disabilities of all human rights and fundamental freedoms on an equal basis with other children; 2. In all actions concerning children with disabilities, the best interests of the child shall be a primary consideration.; 3. States Parties shall ensure that children with disabilities have the right to express their views freely on all matters affecting them, their views being given due weight in accordance with their age and maturity, on an equal basis with other children, and to be provided with disability and age-appropriate assistance to realize that right.


"
7,CRPD_Article 7 ,Has SubTopic,children 
7,Children ,has wikidata code,Q7569
,Children ,Mentioned In CRPD Article,7
7,Children ,has Wikidata definition,Human between the stages of birth and puberty
7,CRPD_Article 7 ,requires wikidata definition extension,children with disabilities receive equal rights to all other children; the best interests of the child shall be a primary consideration
7,CRPD_Article 7 ,Has SubTopic,freedom of expression 
7,CRPD_Article 7 ,requires wikidata definition extension,"children with disabilities have the right to express their views freely on all matters affecting them, their views being given due weight in accordance with their age and maturity, on an equal basis with other children, and to be provided with disability and age-appropriate assistance to realize that right."
8,CRPD_Article 8,has CRPD definition,"1States Parties undertake to adopt immediate, effective and appropriate measures: To raise awareness throughout society, including at the family level, regarding persons with disabilities, and to foster respect for the rights and dignity of persons with disabilities; To combat stereotypes, prejudices and harmful practices relating to persons with disabilities, including those based on sex and age, in all areas of life; To promote awareness of the capabilities and contributions of persons with disabilities; Measures to this end include: Initiating and maintaining effective public awareness campaigns designed: To nurture receptiveness to the rights of persons with disabilities;  To promote positive perceptions and greater social awareness towards persons with disabilities; to promote recognition of the skills, merits and abilities of persons with disabilities, and of their contributions to the workplace and the labour market; Fostering at all levels of the education system, including in all children from an early age, an attitude of respect for the rights of persons with disabilities; Encouraging all organs of the media to portray persons with disabilities in a manner consistent with the purpose of the present Convention; Promoting  awareness-training programmes regarding persons with disabilities and the rights of persons with disabilities."
8,CRPD_Article 8,Has SubTopic,awareness -raising   
8,CRPD_Article 8,has wikidata code,Missing
8,CRPD_Article 8,requires wikidata definition extension,"awareness -raising is to aisle awareness throughout society, including at the family level, regarding persons with disabilities, and to foster respect for the rights and dignity of persons with disabilities; To combat stereotypes, prejudices and harmful practices relating to persons with disabilities. It is meant to  combat stereotypes, prejudices and harmful practices relating to persons with disabilities, including those based on sex and age, in all areas of life; To promote positive perceptions and greater social awareness towards persons with disabilities; to promote recognition of the skills, merits and abilities of persons with disabilities, and of their contributions to the workplace and the labour market; Fostering at all levels of the education system, including in all children from an early age, an attitude of respect for the rights of persons with disabilities;"
8,CRPD_Article 8,Has SubTopic,media 
,media ,Mentioned In CRPD Article,8
8,media ,has wikidata code,Q11033
8,media ,has Wikidata definition,media technologies that are intended to reach a large audience by mass communication
8,CRPD_Article 8,requires wikidata definition extension,Encourage  all organs of the media to portray persons with disabilities in a manner consistent with the purpose of the present Convention;
9,CRPD_Article 9,has CRPD definition,"1. To enable persons with disabilities to live independently and participate fully in all aspects of life, States Parties shall take appropriate measures to ensure to persons with disabilities access, on an equal basis with others, to the physical environment, to transportation, to information and communications, including information and communications technologies and systems, and to other facilities and services open or provided to the public, both in urban and in rural areas. These measures, which shall include the identification and elimination of obstacles and barriers to accessibility, shall apply to, inter alia:  Buildings, roads, transportation and other indoor and outdoor facilities, including schools, housing, medical facilities and workplaces; 
b) Information, communications and other services, including electronic services and emergency services. States Parties shall also take appropriate measures: To develop, promulgate and monitor the implementation of minimum standards and guidelines for the accessibility of facilities and services open or provided to the public; To ensure that private entities that offer facilities and services which are open or provided to the public take into account all aspects of accessibility for persons with disabilities; To provide training for stakeholders on accessibility issues facing persons with disabilities; To provide in buildings and other facilities open to the public signage in Braille and in easy to read and understand forms; To provide forms of live assistance and intermediaries, including guides, readers and professional sign language interpreters, to facilitate accessibility to buildings and other facilities open to the public; To promote other appropriate forms of assistance and support to persons with disabilities to ensure their access to information;  To promote access for persons with disabilities to new information and communications technologies and systems, including the Internet; o promote the design, development, production and distribution of accessible information and communications technologies and systems at an early stage, so that these technologies and systems become accessible at minimum cost.
"
9,CRPD_Article 9,Has SubTopic,accessibility
9,accessibility ,has wikidata code,Q555097
,accessibility ,Mentioned In CRPD Article,9
9,accessibility ,has Wikidata definition,design of products or services for people with temporary or permanent impairments
9,CRPD_Article 9,requires wikidata definition extension,"accessibility as it relates to information communication, transportation, built environment "
10,CRPD_Article 10,has CRPD text,"States Parties reaffirm that every human being has the inherent right to life and shall take all necessary measures to ensure its effective enjoyment by persons with disabilities on an equal basis with others.
"
10,CRPD_Article 10,Has SubTopic,right to life 
,right to life ,Mentioned In CRPD Article,10
10,right to life ,has wikidata code,Q25822
10,right to life ,has Wikidata definition,belief that a human being has an essential right to live
11,CRPD_Article 11,has CRPD text,"States Parties shall take, in accordance with their obligations under international law, including international humanitarian law and international human rights law, all necessary measures to ensure the protection and safety of persons with disabilities in situations of risk, including situations of armed conflict, humanitarian emergencies and the occurrence of natural disasters."
11,CRPD_Article 11,Has SubTopic,humanitarian emergencies
11,CRPD_Article 11,has wikidata code,missing 
,humanitarian emergencies,Mentioned In CRPD Article,11
11,CRPD_Article 11,requires wikidata definition extension,people with disabilities must be protected in humanitarian crisis such as armed conflict and natural disasters 
11,natural disaster ,Has SubTopic,Natural disaster
,natural disaster ,Mentioned In CRPD Article,11
11,natural disaster ,has wikidata code,Q8065
11,natural disaster ,has Wikidata definition,"major adverse event resulting from natural processes of the Earth, which may cause loss of life or property"
12,CRPD_Article 12,has CRPD definition,"1. States Parties reaffirm that persons with disabilities have the right to recognition everywhere as persons before the law; 2. States Parties shall recognize that persons with disabilities enjoy legal capacity on an equal basis with others in all aspects of life; States Parties shall take appropriate measures to provide access by persons with disabilities to the support they may require in exercising their legal capacity; States Parties shall ensure that all measures that relate to the exercise of legal capacity provide for appropriate and effective safeguards to prevent abuse in accordance with international human rights law. Such safeguards shall ensure that measures relating to the exercise of legal capacity respect the rights, will and preferences of the person, are free of conflict of interest and undue influence, are proportional and tailored to the person?s circumstances, apply for the shortest time possible and are subject to regular review by a competent, independent and impartial authority or judicial body. The safeguards shall be proportional to the degree to which such measures affect the person?s rights and interests; Subject to the provisions of this article, States Parties shall take all appropriate and effective measures to ensure the equal right of persons with disabilities to own or inherit property, to control their own financial affairs and to have equal access to bank loans, mortgages and other forms of financial credit, and shall ensure that persons with disabilities are not arbitrarily deprived of their property."
12,CRPD_Article 12,Has SubTopic,legal capacity 
,legal capacity ,Mentioned In CRPD Article,12
12,legal capacity ,has wikidata code,Q889137
,legal capacity ,Mentioned In CRPD Article,12
12,legal capacity ,has Wikidata definition,Missing
12,legal capacity ,has wikidata definition extension,persons with disabilities have the right to recognition everywhere as persons before the law; States Parties shall take appropriate measures to provide access by persons with disabilities to the support they may require in exercising their legal capacity; States Parties shall ensure that all measures that relate to the exercise of legal capacity provide for appropriate and effective safeguards to prevent abuse in accordance with international human rights law.
13,CRPD_Article 13,Has SubTopic,access to justice 
,access to justice ,Mentioned In CRPD Article,13
13,access to justice ,has wikidata code,Missing
13,access to justice ,has wikidata definition extension,persons with disabilities have the right to recognition everywhere as persons before the law;
14,CRPD_Article 14 ,has CRPD text,"1. States Parties shall ensure that persons with disabilities, on an equal basis with others: a) Enjoy the right to liberty and security of person; Are not deprived of their liberty unlawfully or arbitrarily, and that any deprivation of liberty is in conformity with the law, and that the existence of a disability shall in no case justify a deprivation of liberty. States Parties shall ensure that if persons with disabilities are deprived of their liberty through any process, they are, on an equal basis with others, entitled to guarantees in accordance with international human rights law and shall be treated in compliance with the objectives and principles of the present Convention, including by provision of reasonable accommodation."
14,CRPD_Article 14 ,Has SubTopic,liberty (and security of person)
,liberty ,Mentioned In CRPD Article,14
14,liberty ,has wikidata code,Q2979
14,liberty ,has Wikidata definition,ability of individuals to have agency
14,liberty ,has wikidata definition extension,"people with disabilities are not deprived of their liberty unlawfully or arbitrarily, and that any deprivation of liberty is in conformity with the law, and that the existence of a disability shall in no case justify a deprivation of liberty. People with disabilities are entitled to guarantees in accordance with international human rights law and shall be treated in compliance with the objectives and principles of the present Convention."
14,CRPD_Article 14 ,Has SubTopic,security of person 
,security of person ,Mentioned In CRPD Article,14
14,security of person ,has wikidata code,Q7445060
14,security of person ,has Wikidata definition,"a basic entitlement guaranteed by the Universal Declaration of Human Rights, adopted by the United Nations in 1948"
14,Security of person ,requires  wikidata definition extension,Need legal advice 
15,CRPD_Article 15,has CRPD text,"1. No one shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment. In particular, no one shall be subjected without his or her free consent to medical or scientific experimentation. 2. States Parties shall take all effective legislative, administrative, judicial or other measures to prevent persons with disabilities, on an equal basis with others, from being subjected to torture or cruel, inhuman or degrading treatment or punishment."
15,CRPD_Article 15,Has SubTopic,"freedom from torture or cruel, inhuman or degrading treatment or punishment "
15,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",has wikidata code,Q83644235
,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",Mentioned In CRPD Article,15
15,"freedom from torture or cruel, inhuman or degrading treatment or punishment ",has Wikidata definition,freedom from torture and inhuman or degrading treatment freedom from torture
16,CRPD_Article 16,has CRPD text,"1. States Parties shall take all appropriate legislative, administrative, social, educational and other measures to protect persons with disabilities, both within and outside the home, from all forms of exploitation, violence and abuse, including their gender-based aspects.
2. States Parties shall also take all appropriate measures to prevent all forms of exploitation, violence and abuse by ensuring, inter alia, appropriate forms of gender- and age-sensitive assistance and support for persons with disabilities and their families and caregivers, including through the provision of information and education on how to avoid, recognize and report instances of exploitation, violence and abuse. States Parties shall ensure that protection services are age-, gender- and disability-sensitive.
3. In order to prevent the occurrence of all forms of exploitation, violence and abuse, States Parties shall ensure that all facilities and programmes designed to serve persons with disabilities are effectively monitored by independent authorities.
4. States Parties shall take all appropriate measures to promote the physical, cognitive and psychological recovery, rehabilitation and social reintegration of persons with disabilities who become victims of any form of exploitation, violence or abuse, including through the provision of protection services. Such recovery and reintegration shall take place in an environment that fosters the health, welfare, self-respect, dignity and autonomy of the person and takes into account gender- and age-specific needs.
5. States Parties shall put in place effective legislation and policies, including women- and child-focused legislation and policies, to ensure that instances of exploitation, violence and abuse against persons with disabilities are identified, investigated and, where appropriate, prosecuted.
"
16,CRPD_Article 16,Has SubTopic,freedom from violence 
,freedom from violence ,Mentioned In CRPD Article,16
16,freedom from violence ,has wikidata code,missing
17,CRPD_Article 17 ,Has SubTopic,integrity 
,integrity ,Mentioned In CRPD Article,17
17,integrity ,has wikidata code,Q1329012
17,integrity ,has Wikidata definition,"concept of consistency of actions, values, methods, measures, principles, expectations, and outcomes"
17,integrity ,requires wikidata definition extension,respect  integrity based on physical or mental disability 
